Emission Probabilities Format -- > P( output | state ): 

P( _ | _ ): 0.999044
P( a | _ ): 3.7e-05
P( c | _ ): 3.7e-05
P( b | _ ): 3.7e-05
P( e | _ ): 3.7e-05
P( d | _ ): 3.7e-05
P( g | _ ): 3.7e-05
P( f | _ ): 3.7e-05
P( i | _ ): 3.7e-05
P( h | _ ): 3.7e-05
P( k | _ ): 3.7e-05
P( j | _ ): 3.7e-05
P( m | _ ): 3.7e-05
P( l | _ ): 3.7e-05
P( o | _ ): 3.7e-05
P( n | _ ): 3.7e-05
P( q | _ ): 3.7e-05
P( p | _ ): 3.7e-05
P( s | _ ): 3.7e-05
P( r | _ ): 3.7e-05
P( u | _ ): 3.7e-05
P( t | _ ): 3.7e-05
P( w | _ ): 3.7e-05
P( v | _ ): 3.7e-05
P( y | _ ): 3.7e-05
P( x | _ ): 3.7e-05
P( z | _ ): 3.7e-05
P( _ | a ): 0.000101
P( a | a ): 0.794771
P( c | a ): 0.000101
P( b | a ): 0.000101
P( e | a ): 0.000101
P( d | a ): 0.000101
P( g | a ): 0.000101
P( f | a ): 0.000101
P( i | a ): 0.000101
P( h | a ): 0.000101
P( k | a ): 0.000101
P( j | a ): 0.000101
P( m | a ): 0.000101
P( l | a ): 0.000101
P( o | a ): 0.000101
P( n | a ): 0.000101
P( q | a ): 0.068241
P( p | a ): 0.000101
P( s | a ): 0.068847
P( r | a ): 0.000101
P( u | a ): 0.000101
P( t | a ): 0.000101
P( w | a ): 0.000101
P( v | a ): 0.000101
P( y | a ): 0.000101
P( x | a ): 0.000101
P( z | a ): 0.065819
P( _ | c ): 0.00022
P( a | c ): 0.00022
P( c | c ): 0.793521
P( b | c ): 0.00022
P( e | c ): 0.00022
P( d | c ): 0.044954
P( g | c ): 0.00022
P( f | c ): 0.052887
P( i | c ): 0.00022
P( h | c ): 0.00022
P( k | c ): 0.00022
P( j | c ): 0.00022
P( m | c ): 0.00022
P( l | c ): 0.00022
P( o | c ): 0.00022
P( n | c ): 0.00022
P( q | c ): 0.00022
P( p | c ): 0.00022
P( s | c ): 0.00022
P( r | c ): 0.00022
P( u | c ): 0.00022
P( t | c ): 0.00022
P( w | c ): 0.00022
P( v | c ): 0.053768
P( y | c ): 0.00022
P( x | c ): 0.050022
P( z | c ): 0.00022
P( _ | b ): 0.000507
P( a | b ): 0.000507
P( c | b ): 0.000507
P( b | b ): 0.798886
P( e | b ): 0.000507
P( d | b ): 0.000507
P( g | b ): 0.046099
P( f | b ): 0.000507
P( i | b ): 0.000507
P( h | b ): 0.043566
P( k | b ): 0.000507
P( j | b ): 0.000507
P( m | b ): 0.000507
P( l | b ): 0.000507
P( o | b ): 0.000507
P( n | b ): 0.053191
P( q | b ): 0.000507
P( p | b ): 0.000507
P( s | b ): 0.000507
P( r | b ): 0.000507
P( u | b ): 0.000507
P( t | b ): 0.000507
P( w | b ): 0.000507
P( v | b ): 0.047112
P( y | b ): 0.000507
P( x | b ): 0.000507
P( z | b ): 0.000507
P( _ | e ): 5.9e-05
P( a | e ): 5.9e-05
P( c | e ): 5.9e-05
P( b | e ): 5.9e-05
P( e | e ): 0.80065
P( d | e ): 0.066352
P( g | e ): 5.9e-05
